Time,CORE_ZN ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_ZN ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.434878E+03,3.414365E+03,1.256742E-01,2.634106E-01,7.556798E+03,3.440042E+03,3.898758E-01,2.653543E-01,4.878763E+03,2.259064E+03,2.517047E-01,1.742559E-01,7.428975E+03,3.508052E+03,3.832869E-01,2.706014E-01,4.897732E+03,2.395651E+03,2.526833E-01,1.847911E-01
00:20:00,2.436912E+03,3.428295E+03,1.257792E-01,2.644852E-01,7.558409E+03,3.425463E+03,3.899589E-01,2.642295E-01,4.879734E+03,2.247337E+03,2.517548E-01,1.733511E-01,7.430583E+03,3.493724E+03,3.833698E-01,2.694959E-01,4.898704E+03,2.383382E+03,2.527334E-01,1.838446E-01
00:30:00,2.438924E+03,3.439159E+03,1.258830E-01,2.653234E-01,7.560001E+03,3.409582E+03,3.900411E-01,2.630044E-01,4.880694E+03,2.234744E+03,2.518043E-01,1.723796E-01,7.432172E+03,3.478043E+03,3.834518E-01,2.682863E-01,4.899664E+03,2.370261E+03,2.527830E-01,1.828326E-01
00:40:00,2.440911E+03,3.447369E+03,1.259856E-01,2.659567E-01,7.561574E+03,3.392681E+03,3.901223E-01,2.617007E-01,4.881643E+03,2.221514E+03,2.518533E-01,1.713590E-01,7.433743E+03,3.461303E+03,3.835328E-01,2.669949E-01,4.900613E+03,2.356433E+03,2.528319E-01,1.817660E-01
00:50:00,2.442875E+03,3.453271E+03,1.260870E-01,2.664121E-01,7.563128E+03,3.374979E+03,3.902024E-01,2.603352E-01,4.882580E+03,2.207809E+03,2.519016E-01,1.703018E-01,7.435294E+03,3.443729E+03,3.836128E-01,2.656392E-01,4.901550E+03,2.342033E+03,2.528803E-01,1.806553E-01
01:00:00,2.444814E+03,3.457163E+03,1.261871E-01,2.667124E-01,7.564662E+03,3.356651E+03,3.902816E-01,2.589214E-01,4.883506E+03,2.193754E+03,2.519494E-01,1.692177E-01,7.436825E+03,3.425498E+03,3.836919E-01,2.642329E-01,4.902476E+03,2.327200E+03,2.529281E-01,1.795112E-01
01:10:00,2.446732E+03,3.459306E+03,1.262861E-01,2.668777E-01,7.566181E+03,3.338296E+03,3.903599E-01,2.575055E-01,4.884423E+03,2.179749E+03,2.519967E-01,1.681373E-01,7.438342E+03,3.407197E+03,3.837701E-01,2.628212E-01,4.903393E+03,2.312245E+03,2.529754E-01,1.783578E-01
01:20:00,2.448625E+03,3.459914E+03,1.263838E-01,2.669246E-01,7.567680E+03,3.320039E+03,3.904373E-01,2.560973E-01,4.885328E+03,2.165864E+03,2.520434E-01,1.670664E-01,7.439839E+03,3.388948E+03,3.838474E-01,2.614136E-01,4.904298E+03,2.297260E+03,2.530221E-01,1.772020E-01
01:30:00,2.450492E+03,3.459178E+03,1.264801E-01,2.668678E-01,7.569160E+03,3.301988E+03,3.905136E-01,2.547049E-01,4.886221E+03,2.152153E+03,2.520895E-01,1.660088E-01,7.441316E+03,3.370860E+03,3.839236E-01,2.600183E-01,4.905191E+03,2.282318E+03,2.530682E-01,1.760494E-01
01:40:00,2.452334E+03,3.457264E+03,1.265752E-01,2.667201E-01,7.570619E+03,3.284233E+03,3.905889E-01,2.533353E-01,4.887102E+03,2.138658E+03,2.521349E-01,1.649679E-01,7.442774E+03,3.353021E+03,3.839988E-01,2.586423E-01,4.906073E+03,2.267487E+03,2.531136E-01,1.749055E-01
01:50:00,2.454151E+03,3.454315E+03,1.266690E-01,2.664926E-01,7.572058E+03,3.266854E+03,3.906632E-01,2.519948E-01,4.887971E+03,2.125438E+03,2.521798E-01,1.639481E-01,7.444211E+03,3.335512E+03,3.840729E-01,2.572917E-01,4.906942E+03,2.252833E+03,2.531585E-01,1.737752E-01
02:00:00,2.455943E+03,3.450459E+03,1.267615E-01,2.661951E-01,7.573478E+03,3.249921E+03,3.907364E-01,2.506886E-01,4.888829E+03,2.112527E+03,2.522240E-01,1.629523E-01,7.445628E+03,3.318399E+03,3.841461E-01,2.559717E-01,4.907799E+03,2.238414E+03,2.532027E-01,1.726629E-01
02:10:00,2.457710E+03,3.445805E+03,1.268527E-01,2.658361E-01,7.574877E+03,3.233050E+03,3.908086E-01,2.493873E-01,4.889674E+03,2.099688E+03,2.522676E-01,1.619619E-01,7.447026E+03,3.301316E+03,3.842182E-01,2.546540E-01,4.908645E+03,2.224002E+03,2.532463E-01,1.715512E-01
02:20:00,2.459452E+03,3.440450E+03,1.269426E-01,2.654230E-01,7.576257E+03,3.216284E+03,3.908798E-01,2.480940E-01,4.890508E+03,2.086929E+03,2.523106E-01,1.609777E-01,7.448404E+03,3.284308E+03,3.842893E-01,2.533421E-01,4.909478E+03,2.209639E+03,2.532893E-01,1.704434E-01
02:30:00,2.461168E+03,3.434480E+03,1.270312E-01,2.649624E-01,7.577618E+03,3.199666E+03,3.909500E-01,2.468122E-01,4.891329E+03,2.074265E+03,2.523530E-01,1.600009E-01,7.449763E+03,3.267416E+03,3.843594E-01,2.520391E-01,4.910300E+03,2.195371E+03,2.533317E-01,1.693427E-01
02:40:00,2.462860E+03,3.427967E+03,1.271185E-01,2.644599E-01,7.578958E+03,3.183236E+03,3.910192E-01,2.455449E-01,4.892139E+03,2.061712E+03,2.523948E-01,1.590326E-01,7.451102E+03,3.250680E+03,3.844285E-01,2.507481E-01,4.911110E+03,2.181244E+03,2.533735E-01,1.682531E-01
02:50:00,2.464528E+03,3.420979E+03,1.272046E-01,2.639208E-01,7.580280E+03,3.167031E+03,3.910873E-01,2.442949E-01,4.892938E+03,2.049274E+03,2.524360E-01,1.580732E-01,7.452422E+03,3.234135E+03,3.844965E-01,2.494719E-01,4.911909E+03,2.167281E+03,2.534147E-01,1.671760E-01
03:00:00,2.466171E+03,3.413573E+03,1.272894E-01,2.633494E-01,7.581582E+03,3.151086E+03,3.911545E-01,2.430650E-01,4.893725E+03,2.036973E+03,2.524766E-01,1.571244E-01,7.453722E+03,3.217816E+03,3.845637E-01,2.482131E-01,4.912696E+03,2.153497E+03,2.534554E-01,1.661127E-01
03:10:00,2.467790E+03,3.405799E+03,1.273730E-01,2.627497E-01,7.582866E+03,3.134986E+03,3.912208E-01,2.418230E-01,4.894501E+03,2.024528E+03,2.525167E-01,1.561645E-01,7.455004E+03,3.201323E+03,3.846298E-01,2.469410E-01,4.913472E+03,2.139628E+03,2.534954E-01,1.650429E-01
03:20:00,2.469385E+03,3.397704E+03,1.274553E-01,2.621252E-01,7.584131E+03,3.118751E+03,3.912860E-01,2.405707E-01,4.895265E+03,2.011962E+03,2.525561E-01,1.551954E-01,7.456268E+03,3.184679E+03,3.846950E-01,2.456571E-01,4.914236E+03,2.125687E+03,2.535348E-01,1.639675E-01
03:30:00,2.470956E+03,3.389327E+03,1.275364E-01,2.614790E-01,7.585377E+03,3.102405E+03,3.913503E-01,2.393099E-01,4.896018E+03,1.999294E+03,2.525950E-01,1.542183E-01,7.457512E+03,3.167906E+03,3.847592E-01,2.443633E-01,4.914990E+03,2.111686E+03,2.535737E-01,1.628875E-01
03:40:00,2.472492E+03,3.380703E+03,1.276157E-01,2.608136E-01,7.586596E+03,3.085976E+03,3.914132E-01,2.380426E-01,4.896756E+03,1.986536E+03,2.526330E-01,1.532343E-01,7.458730E+03,3.151027E+03,3.848220E-01,2.430613E-01,4.915727E+03,2.097634E+03,2.536117E-01,1.618036E-01
03:50:00,2.473997E+03,3.371863E+03,1.276933E-01,2.601316E-01,7.587792E+03,3.069489E+03,3.914749E-01,2.367709E-01,4.897479E+03,1.973703E+03,2.526703E-01,1.522444E-01,7.459925E+03,3.134065E+03,3.848837E-01,2.417530E-01,4.916451E+03,2.083570E+03,2.536491E-01,1.607188E-01
04:00:00,2.475475E+03,3.362833E+03,1.277696E-01,2.594350E-01,7.588967E+03,3.052978E+03,3.915355E-01,2.354973E-01,4.898190E+03,1.960807E+03,2.527070E-01,1.512497E-01,7.461099E+03,3.117042E+03,3.849442E-01,2.404399E-01,4.917162E+03,2.069522E+03,2.536857E-01,1.596352E-01
04:10:00,2.476928E+03,3.353640E+03,1.278446E-01,2.587258E-01,7.590122E+03,3.036932E+03,3.915951E-01,2.342596E-01,4.898889E+03,1.948151E+03,2.527431E-01,1.502736E-01,7.462253E+03,3.100417E+03,3.850038E-01,2.391575E-01,4.917861E+03,2.055761E+03,2.537218E-01,1.585737E-01
04:20:00,2.478357E+03,3.344305E+03,1.279184E-01,2.580056E-01,7.591259E+03,3.021449E+03,3.916538E-01,2.330653E-01,4.899577E+03,1.935753E+03,2.527785E-01,1.493172E-01,7.463389E+03,3.084221E+03,3.850624E-01,2.379082E-01,4.918549E+03,2.042274E+03,2.537573E-01,1.575334E-01
04:30:00,2.479763E+03,3.334848E+03,1.279909E-01,2.572760E-01,7.592378E+03,3.006231E+03,3.917115E-01,2.318913E-01,4.900254E+03,1.923626E+03,2.528135E-01,1.483819E-01,7.464507E+03,3.068485E+03,3.851201E-01,2.366944E-01,4.919226E+03,2.029055E+03,2.537922E-01,1.565137E-01
04:40:00,2.481157E+03,3.325288E+03,1.280629E-01,2.565384E-01,7.593487E+03,2.991254E+03,3.917687E-01,2.307361E-01,4.900924E+03,1.911784E+03,2.528481E-01,1.474685E-01,7.465614E+03,3.053250E+03,3.851772E-01,2.355192E-01,4.919896E+03,2.016096E+03,2.538268E-01,1.555142E-01
04:50:00,2.482537E+03,3.315642E+03,1.281341E-01,2.557943E-01,7.594584E+03,2.976496E+03,3.918253E-01,2.295978E-01,4.901588E+03,1.900240E+03,2.528823E-01,1.465780E-01,7.466710E+03,3.038588E+03,3.852338E-01,2.343882E-01,4.920560E+03,2.003380E+03,2.538611E-01,1.545333E-01
05:00:00,2.483898E+03,3.305926E+03,1.282044E-01,2.550448E-01,7.595667E+03,2.961916E+03,3.918812E-01,2.284733E-01,4.902242E+03,1.889003E+03,2.529161E-01,1.457113E-01,7.467792E+03,3.024270E+03,3.852895E-01,2.332837E-01,4.921214E+03,1.990901E+03,2.538948E-01,1.535708E-01
05:10:00,2.485240E+03,3.296155E+03,1.282736E-01,2.542909E-01,7.596734E+03,2.948823E+03,3.919362E-01,2.274635E-01,4.902888E+03,1.878945E+03,2.529494E-01,1.449355E-01,7.468858E+03,3.011507E+03,3.853445E-01,2.322992E-01,4.921860E+03,1.979548E+03,2.539281E-01,1.526952E-01
05:20:00,2.486562E+03,3.286342E+03,1.283418E-01,2.535339E-01,7.597785E+03,2.937783E+03,3.919905E-01,2.266122E-01,4.903524E+03,1.870494E+03,2.529822E-01,1.442836E-01,7.469908E+03,3.000909E+03,3.853987E-01,2.314818E-01,4.922496E+03,1.969746E+03,2.539609E-01,1.519392E-01
05:30:00,2.487864E+03,3.276506E+03,1.284091E-01,2.527750E-01,7.598821E+03,2.930101E+03,3.920440E-01,2.260199E-01,4.904150E+03,1.865328E+03,2.530145E-01,1.438851E-01,7.470943E+03,2.994023E+03,3.854521E-01,2.309507E-01,4.923123E+03,1.962101E+03,2.539933E-01,1.513495E-01
05:40:00,2.489147E+03,3.266669E+03,1.284753E-01,2.520162E-01,7.599842E+03,2.926550E+03,3.920966E-01,2.257461E-01,4.904768E+03,1.867979E+03,2.530464E-01,1.440896E-01,7.471963E+03,2.993851E+03,3.855048E-01,2.309376E-01,4.923740E+03,1.957048E+03,2.540251E-01,1.509598E-01
05:50:00,2.490410E+03,3.256902E+03,1.285405E-01,2.512626E-01,7.600848E+03,2.927954E+03,3.921485E-01,2.258545E-01,4.905376E+03,1.883929E+03,2.530777E-01,1.453198E-01,7.472968E+03,3.003607E+03,3.855566E-01,2.316902E-01,4.924348E+03,1.955056E+03,2.540565E-01,1.508061E-01
06:00:00,2.491654E+03,3.247327E+03,1.286047E-01,2.505239E-01,7.601838E+03,2.934540E+03,3.921996E-01,2.263625E-01,4.905975E+03,1.914585E+03,2.531087E-01,1.476842E-01,7.473957E+03,3.021357E+03,3.856076E-01,2.330595E-01,4.924948E+03,1.956224E+03,2.540874E-01,1.508962E-01
06:10:00,2.492880E+03,4.020634E+03,1.286679E-01,3.217341E-01,7.226440E+03,3.525928E+03,3.728399E-01,2.822103E-01,4.666746E+03,2.304194E+03,2.407718E-01,1.849008E-01,7.115208E+03,3.585532E+03,3.671063E-01,2.864965E-01,4.685720E+03,2.304638E+03,2.417507E-01,1.844819E-01
06:20:00,2.494099E+03,4.239025E+03,1.287309E-01,3.543370E-01,6.850149E+03,3.481715E+03,3.534380E-01,2.880150E-01,4.426962E+03,2.388185E+03,2.284088E-01,1.995727E-01,6.755600E+03,3.569513E+03,3.485643E-01,2.952831E-01,4.445937E+03,2.307386E+03,2.293878E-01,1.915267E-01
06:30:00,2.495305E+03,4.584458E+03,1.287931E-01,3.994685E-01,6.473424E+03,3.809249E+03,3.340133E-01,3.302564E-01,4.186895E+03,2.701596E+03,2.160311E-01,2.367484E-01,6.395569E+03,3.925054E+03,3.300000E-01,3.404976E-01,4.205870E+03,2.524294E+03,2.170101E-01,2.195529E-01
06:40:00,2.496479E+03,4.809152E+03,1.288537E-01,4.327384E-01,6.096680E+03,4.045326E+03,3.145852E-01,3.635695E-01,3.946801E+03,2.973105E+03,2.036504E-01,2.699419E-01,6.035519E+03,4.184602E+03,3.114324E-01,3.763969E-01,3.965775E+03,2.685561E+03,2.046294E-01,2.421377E-01
06:50:00,2.497586E+03,5.028826E+03,1.289109E-01,4.654842E-01,5.719700E+03,4.274447E+03,2.951452E-01,3.962533E-01,3.706566E+03,3.245851E+03,1.912627E-01,3.034968E-01,5.675238E+03,4.428482E+03,2.928532E-01,4.109227E-01,3.725539E+03,2.841073E+03,1.922417E-01,2.641803E-01
07:00:00,2.498579E+03,5.245092E+03,1.289621E-01,4.978661E-01,5.342522E+03,4.499538E+03,2.756963E-01,4.285978E-01,3.466207E+03,3.519821E+03,1.788695E-01,3.374401E-01,5.314762E+03,4.660995E+03,2.742653E-01,4.444503E-01,3.485179E+03,2.993122E+03,1.798485E-01,2.859067E-01
07:10:00,2.499405E+03,4.676291E+03,1.290047E-01,4.580508E-01,5.341513E+03,4.142955E+03,2.756478E-01,4.058927E-01,3.465544E+03,3.458631E+03,1.788379E-01,3.388479E-01,5.313806E+03,4.346506E+03,2.742194E-01,4.258358E-01,3.484514E+03,2.799152E+03,1.798169E-01,2.742382E-01
07:20:00,2.499997E+03,4.660963E+03,1.290353E-01,4.566671E-01,5.341154E+03,4.424744E+03,2.756297E-01,4.334995E-01,3.465291E+03,3.719909E+03,1.788253E-01,3.644454E-01,5.313467E+03,4.610069E+03,2.742024E-01,4.516569E-01,3.484259E+03,2.951959E+03,1.798042E-01,2.892085E-01
07:30:00,2.500315E+03,4.516881E+03,1.290517E-01,4.425528E-01,5.340960E+03,4.337109E+03,2.756209E-01,4.249149E-01,3.465159E+03,3.764737E+03,1.788194E-01,3.688392E-01,5.313285E+03,4.499012E+03,2.741942E-01,4.407781E-01,3.484127E+03,2.891511E+03,1.797983E-01,2.832875E-01
07:40:00,2.500333E+03,4.492345E+03,1.290527E-01,4.401492E-01,5.340495E+03,4.342919E+03,2.756008E-01,4.254873E-01,3.464881E+03,3.858254E+03,1.788077E-01,3.780040E-01,5.312830E+03,4.480224E+03,2.741746E-01,4.389408E-01,3.483849E+03,2.887526E+03,1.797865E-01,2.828990E-01
07:50:00,2.500049E+03,4.472004E+03,1.290380E-01,4.381563E-01,5.339952E+03,4.357210E+03,2.755764E-01,4.268886E-01,3.464556E+03,3.950426E+03,1.787932E-01,3.870354E-01,5.312294E+03,4.471736E+03,2.741505E-01,4.381105E-01,3.483523E+03,2.889927E+03,1.797721E-01,2.831349E-01
08:00:00,2.499479E+03,4.454529E+03,1.290085E-01,4.364442E-01,5.339271E+03,4.377116E+03,2.755437E-01,4.288392E-01,3.464153E+03,4.038516E+03,1.787740E-01,3.956661E-01,5.311619E+03,4.472143E+03,2.741180E-01,4.381507E-01,3.483121E+03,2.896551E+03,1.797528E-01,2.837840E-01
08:10:00,2.498650E+03,4.438952E+03,1.289658E-01,4.349180E-01,5.338442E+03,4.399430E+03,2.755023E-01,4.310255E-01,3.463663E+03,4.112331E+03,1.787495E-01,4.028982E-01,5.310794E+03,4.477822E+03,2.740769E-01,4.387071E-01,3.482630E+03,2.905140E+03,1.797283E-01,2.846255E-01
08:20:00,2.497594E+03,4.424614E+03,1.289113E-01,4.335132E-01,5.337476E+03,4.424034E+03,2.754533E-01,4.334361E-01,3.463089E+03,4.176948E+03,1.787203E-01,4.092291E-01,5.309832E+03,4.490080E+03,2.740280E-01,4.399082E-01,3.482056E+03,2.915584E+03,1.796992E-01,2.856487E-01
08:30:00,2.496344E+03,4.411928E+03,1.288468E-01,4.322703E-01,5.336383E+03,4.450513E+03,2.753974E-01,4.360305E-01,3.462439E+03,4.233114E+03,1.786870E-01,4.147322E-01,5.308743E+03,4.508540E+03,2.739723E-01,4.417168E-01,3.481406E+03,2.927631E+03,1.796659E-01,2.868291E-01
08:40:00,2.494930E+03,4.400485E+03,1.287738E-01,4.311492E-01,5.335179E+03,4.478541E+03,2.753355E-01,4.387766E-01,3.461722E+03,4.281033E+03,1.786502E-01,4.194273E-01,5.307543E+03,4.531037E+03,2.739107E-01,4.439209E-01,3.480689E+03,2.941056E+03,1.796290E-01,2.881444E-01
08:50:00,2.493378E+03,4.390017E+03,1.286937E-01,4.301235E-01,5.333881E+03,4.507847E+03,2.752687E-01,4.416478E-01,3.460947E+03,4.320741E+03,1.786103E-01,4.233177E-01,5.306248E+03,4.556085E+03,2.738440E-01,4.463750E-01,3.479914E+03,2.955685E+03,1.795891E-01,2.895776E-01
09:00:00,2.491713E+03,4.380276E+03,1.286077E-01,4.291691E-01,5.332503E+03,4.538212E+03,2.751977E-01,4.446228E-01,3.460123E+03,4.352309E+03,1.785678E-01,4.264107E-01,5.304874E+03,4.583067E+03,2.737732E-01,4.490185E-01,3.479091E+03,2.971374E+03,1.795467E-01,2.911148E-01
09:10:00,2.489953E+03,4.371361E+03,1.285169E-01,4.282957E-01,5.331059E+03,4.569252E+03,2.751233E-01,4.476640E-01,3.459260E+03,4.374515E+03,1.785233E-01,4.285864E-01,5.303434E+03,4.611383E+03,2.736990E-01,4.517927E-01,3.478227E+03,2.987872E+03,1.795022E-01,2.927312E-01
09:20:00,2.488116E+03,4.363346E+03,1.284221E-01,4.275104E-01,5.329560E+03,4.600175E+03,2.750460E-01,4.506937E-01,3.458363E+03,4.383360E+03,1.784770E-01,4.294531E-01,5.301939E+03,4.640093E+03,2.736219E-01,4.546056E-01,3.477330E+03,3.004637E+03,1.794559E-01,2.943737E-01
09:30:00,2.486215E+03,4.356223E+03,1.283240E-01,4.268124E-01,5.328018E+03,4.630708E+03,2.749664E-01,4.536851E-01,3.457439E+03,4.378085E+03,1.784294E-01,4.289364E-01,5.300400E+03,4.668820E+03,2.735425E-01,4.574201E-01,3.476406E+03,3.021476E+03,1.794082E-01,2.960234E-01
09:40:00,2.484264E+03,4.349993E+03,1.282232E-01,4.262021E-01,5.326440E+03,4.660678E+03,2.748850E-01,4.566214E-01,3.456493E+03,4.358541E+03,1.783806E-01,4.270217E-01,5.298826E+03,4.697301E+03,2.734613E-01,4.602105E-01,3.475460E+03,3.038263E+03,1.793594E-01,2.976681E-01
09:50:00,2.482272E+03,4.344610E+03,1.281204E-01,4.256746E-01,5.324834E+03,4.689966E+03,2.748021E-01,4.594910E-01,3.455530E+03,4.324698E+03,1.783309E-01,4.237061E-01,5.297223E+03,4.725335E+03,2.733786E-01,4.629572E-01,3.474497E+03,3.054888E+03,1.793097E-01,2.992970E-01
10:00:00,2.480248E+03,4.340022E+03,1.280159E-01,4.252251E-01,5.323207E+03,4.718492E+03,2.747181E-01,4.622858E-01,3.454553E+03,4.276618E+03,1.782805E-01,4.189956E-01,5.295599E+03,4.752774E+03,2.732948E-01,4.656455E-01,3.473520E+03,3.071273E+03,1.792593E-01,3.009023E-01
10:10:00,2.478199E+03,4.336166E+03,1.279102E-01,4.248473E-01,5.321563E+03,4.745680E+03,2.746333E-01,4.649495E-01,3.453567E+03,4.215288E+03,1.782296E-01,4.129870E-01,5.293959E+03,4.778998E+03,2.732101E-01,4.682148E-01,3.472533E+03,3.087012E+03,1.792084E-01,3.024443E-01
10:20:00,2.476133E+03,4.332975E+03,1.278036E-01,4.245346E-01,5.319908E+03,4.772082E+03,2.745479E-01,4.675362E-01,3.452573E+03,4.145158E+03,1.781783E-01,4.061162E-01,5.292308E+03,4.804518E+03,2.731249E-01,4.707152E-01,3.471539E+03,3.102459E+03,1.791571E-01,3.039578E-01
10:30:00,2.474054E+03,4.330391E+03,1.276963E-01,4.242814E-01,5.318246E+03,4.797799E+03,2.744622E-01,4.700559E-01,3.451574E+03,4.067736E+03,1.781267E-01,3.985310E-01,5.290649E+03,4.829399E+03,2.730393E-01,4.731529E-01,3.470540E+03,3.117661E+03,1.791055E-01,3.054472E-01
10:40:00,2.471967E+03,4.328363E+03,1.275886E-01,4.240828E-01,5.316581E+03,4.822880E+03,2.743762E-01,4.725133E-01,3.450572E+03,3.984254E+03,1.780750E-01,3.903520E-01,5.288986E+03,4.853667E+03,2.729535E-01,4.755305E-01,3.469539E+03,3.132623E+03,1.790538E-01,3.069131E-01
10:50:00,2.469877E+03,4.326853E+03,1.274807E-01,4.239348E-01,5.314914E+03,4.847355E+03,2.742902E-01,4.749112E-01,3.449570E+03,3.896345E+03,1.780233E-01,3.817392E-01,5.287323E+03,4.877343E+03,2.728677E-01,4.778502E-01,3.468536E+03,3.147361E+03,1.790021E-01,3.083570E-01
11:00:00,2.467787E+03,4.325829E+03,1.273728E-01,4.238345E-01,5.313249E+03,4.871250E+03,2.742042E-01,4.772523E-01,3.448568E+03,3.806178E+03,1.779716E-01,3.729052E-01,5.285661E+03,4.900450E+03,2.727819E-01,4.801141E-01,3.467535E+03,3.161879E+03,1.789504E-01,3.097794E-01
11:10:00,2.465699E+03,4.325267E+03,1.272651E-01,4.237794E-01,5.311588E+03,4.894018E+03,2.741185E-01,4.794830E-01,3.447569E+03,3.719660E+03,1.779200E-01,3.644287E-01,5.284003E+03,4.922460E+03,2.726963E-01,4.822705E-01,3.466535E+03,3.175810E+03,1.788988E-01,3.111444E-01
11:20:00,2.463618E+03,4.325154E+03,1.271576E-01,4.237683E-01,5.309932E+03,4.915665E+03,2.740331E-01,4.816039E-01,3.446572E+03,3.645866E+03,1.778686E-01,3.571989E-01,5.282350E+03,4.943386E+03,2.726110E-01,4.843208E-01,3.465538E+03,3.189149E+03,1.788474E-01,3.124513E-01
11:30:00,2.461544E+03,4.325485E+03,1.270506E-01,4.238008E-01,5.308284E+03,4.936248E+03,2.739480E-01,4.836205E-01,3.445580E+03,3.587440E+03,1.778174E-01,3.514745E-01,5.280705E+03,4.963291E+03,2.725261E-01,4.862710E-01,3.464546E+03,3.201914E+03,1.787962E-01,3.137019E-01
