Time,CORE_ZN ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,7.509914E+03,3.176223E+03,3.874203E-01,2.450060E-01,1.122043E+04,2.455157E+03,5.786741E-01,1.893784E-01,7.028588E+03,1.440548E+03,3.624859E-01,1.111169E-01,1.108109E+04,2.457301E+03,5.714951E-01,1.895440E-01,7.043787E+03,1.453480E+03,3.632697E-01,1.121143E-01
00:20:00,7.509927E+03,3.157470E+03,3.874209E-01,2.435593E-01,1.122044E+04,2.414088E+03,5.786747E-01,1.862108E-01,7.028595E+03,1.415545E+03,3.624863E-01,1.091884E-01,1.108110E+04,2.416308E+03,5.714956E-01,1.863822E-01,7.043794E+03,1.426424E+03,3.632700E-01,1.100275E-01
00:30:00,7.509939E+03,3.137100E+03,3.874215E-01,2.419879E-01,1.122045E+04,2.372126E+03,5.786752E-01,1.829743E-01,7.028602E+03,1.389894E+03,3.624866E-01,1.072100E-01,1.108111E+04,2.374462E+03,5.714961E-01,1.831547E-01,7.043801E+03,1.398973E+03,3.632704E-01,1.079102E-01
00:40:00,7.509950E+03,3.115496E+03,3.874221E-01,2.403215E-01,1.122045E+04,2.329619E+03,5.786756E-01,1.796958E-01,7.028608E+03,1.363817E+03,3.624869E-01,1.051987E-01,1.108112E+04,2.332102E+03,5.714966E-01,1.798875E-01,7.043806E+03,1.371311E+03,3.632707E-01,1.057767E-01
00:50:00,7.509959E+03,3.092955E+03,3.874226E-01,2.385828E-01,1.122046E+04,2.286856E+03,5.786760E-01,1.763976E-01,7.028613E+03,1.337499E+03,3.624872E-01,1.031688E-01,1.108113E+04,2.289510E+03,5.714970E-01,1.766025E-01,7.043812E+03,1.343596E+03,3.632709E-01,1.036391E-01
01:00:00,7.509968E+03,3.069717E+03,3.874230E-01,2.367903E-01,1.122047E+04,2.244070E+03,5.786764E-01,1.730976E-01,7.028618E+03,1.311093E+03,3.624874E-01,1.011322E-01,1.108114E+04,2.246918E+03,5.714973E-01,1.733174E-01,7.043816E+03,1.315958E+03,3.632712E-01,1.015074E-01
01:10:00,7.509975E+03,3.046612E+03,3.874234E-01,2.350081E-01,1.122047E+04,2.202392E+03,5.786767E-01,1.698830E-01,7.028622E+03,1.285304E+03,3.624876E-01,9.914313E-02,1.108114E+04,2.205431E+03,5.714976E-01,1.701176E-01,7.043820E+03,1.289080E+03,3.632714E-01,9.943439E-02
01:20:00,7.509982E+03,3.023808E+03,3.874238E-01,2.332492E-01,1.122048E+04,2.162001E+03,5.786770E-01,1.667677E-01,7.028626E+03,1.260251E+03,3.624878E-01,9.721084E-02,1.108115E+04,2.165224E+03,5.714979E-01,1.670165E-01,7.043824E+03,1.263065E+03,3.632716E-01,9.742784E-02
01:30:00,7.509989E+03,3.001459E+03,3.874241E-01,2.315253E-01,1.122049E+04,2.123074E+03,5.786772E-01,1.637653E-01,7.028629E+03,1.236052E+03,3.624880E-01,9.534436E-02,1.108115E+04,2.126470E+03,5.714982E-01,1.640275E-01,7.043827E+03,1.238014E+03,3.632718E-01,9.549568E-02
01:40:00,7.509994E+03,2.979692E+03,3.874244E-01,2.298464E-01,1.122049E+04,2.085766E+03,5.786775E-01,1.608878E-01,7.028632E+03,1.212810E+03,3.624882E-01,9.355176E-02,1.108116E+04,2.089323E+03,5.714984E-01,1.611623E-01,7.043830E+03,1.214020E+03,3.632719E-01,9.364509E-02
01:50:00,7.509999E+03,2.958621E+03,3.874247E-01,2.282211E-01,1.122049E+04,2.050192E+03,5.786777E-01,1.581440E-01,7.028635E+03,1.190606E+03,3.624883E-01,9.183917E-02,1.108116E+04,2.053895E+03,5.714986E-01,1.584298E-01,7.043833E+03,1.191151E+03,3.632721E-01,9.188123E-02
02:00:00,7.510004E+03,2.938351E+03,3.874249E-01,2.266576E-01,1.122050E+04,2.016453E+03,5.786778E-01,1.555418E-01,7.028637E+03,1.169509E+03,3.624884E-01,9.021198E-02,1.108117E+04,2.020287E+03,5.714988E-01,1.558376E-01,7.043835E+03,1.169466E+03,3.632722E-01,9.020865E-02
02:10:00,7.510008E+03,2.918346E+03,3.874251E-01,2.251145E-01,1.122050E+04,1.983712E+03,5.786780E-01,1.530165E-01,7.028639E+03,1.149011E+03,3.624885E-01,8.863093E-02,1.108117E+04,1.987677E+03,5.714990E-01,1.533225E-01,7.043838E+03,1.148446E+03,3.632723E-01,8.858741E-02
02:20:00,7.510012E+03,2.898691E+03,3.874253E-01,2.235985E-01,1.122050E+04,1.952026E+03,5.786781E-01,1.505726E-01,7.028641E+03,1.129152E+03,3.624886E-01,8.709922E-02,1.108117E+04,1.956125E+03,5.714991E-01,1.508889E-01,7.043840E+03,1.128126E+03,3.632724E-01,8.702010E-02
02:30:00,7.510015E+03,2.879454E+03,3.874255E-01,2.221147E-01,1.122051E+04,1.921423E+03,5.786783E-01,1.482122E-01,7.028643E+03,1.109953E+03,3.624887E-01,8.561843E-02,1.108117E+04,1.925657E+03,5.714992E-01,1.485388E-01,7.043841E+03,1.108518E+03,3.632725E-01,8.550772E-02
02:40:00,7.510018E+03,2.860702E+03,3.874256E-01,2.206683E-01,1.122051E+04,1.891941E+03,5.786784E-01,1.459382E-01,7.028644E+03,1.091441E+03,3.624888E-01,8.419059E-02,1.108118E+04,1.896308E+03,5.714994E-01,1.462752E-01,7.043843E+03,1.089642E+03,3.632726E-01,8.405187E-02
02:50:00,7.510021E+03,2.842494E+03,3.874258E-01,2.192638E-01,1.122051E+04,1.863614E+03,5.786785E-01,1.437534E-01,7.028646E+03,1.073638E+03,3.624889E-01,8.281749E-02,1.108118E+04,1.868113E+03,5.714995E-01,1.441005E-01,7.043844E+03,1.071518E+03,3.632726E-01,8.265393E-02
03:00:00,7.510023E+03,2.824877E+03,3.874259E-01,2.179050E-01,1.122051E+04,1.836467E+03,5.786786E-01,1.416595E-01,7.028647E+03,1.056563E+03,3.624889E-01,8.150048E-02,1.108118E+04,1.841095E+03,5.714996E-01,1.420166E-01,7.043845E+03,1.054157E+03,3.632727E-01,8.131492E-02
03:10:00,7.510025E+03,2.807262E+03,3.874260E-01,2.165463E-01,1.122051E+04,1.809585E+03,5.786787E-01,1.395861E-01,7.028648E+03,1.039653E+03,3.624890E-01,8.019618E-02,1.108118E+04,1.814355E+03,5.714996E-01,1.399542E-01,7.043847E+03,1.036995E+03,3.632728E-01,7.999115E-02
03:20:00,7.510027E+03,2.789682E+03,3.874261E-01,2.151902E-01,1.122051E+04,1.782961E+03,5.786788E-01,1.375326E-01,7.028649E+03,1.022905E+03,3.624890E-01,7.890439E-02,1.108118E+04,1.787887E+03,5.714997E-01,1.379127E-01,7.043848E+03,1.020024E+03,3.632728E-01,7.868219E-02
03:30:00,7.510029E+03,2.772162E+03,3.874262E-01,2.138389E-01,1.122052E+04,1.756584E+03,5.786788E-01,1.354982E-01,7.028650E+03,1.006312E+03,3.624891E-01,7.762458E-02,1.108118E+04,1.761680E+03,5.714998E-01,1.358913E-01,7.043848E+03,1.003235E+03,3.632728E-01,7.738726E-02
03:40:00,7.510031E+03,2.754725E+03,3.874263E-01,2.124939E-01,1.122052E+04,1.730437E+03,5.786789E-01,1.334814E-01,7.028651E+03,9.898639E+02,3.624891E-01,7.635590E-02,1.108119E+04,1.735713E+03,5.714999E-01,1.338885E-01,7.043849E+03,9.866148E+02,3.632729E-01,7.610529E-02
03:50:00,7.510032E+03,2.737384E+03,3.874264E-01,2.111563E-01,1.122052E+04,1.704501E+03,5.786789E-01,1.314809E-01,7.028651E+03,9.735477E+02,3.624892E-01,7.509741E-02,1.108119E+04,1.709968E+03,5.714999E-01,1.319027E-01,7.043850E+03,9.701477E+02,3.632729E-01,7.483516E-02
04:00:00,7.510034E+03,2.720149E+03,3.874264E-01,2.098269E-01,1.122052E+04,1.678756E+03,5.786790E-01,1.294952E-01,7.028652E+03,9.573515E+02,3.624892E-01,7.384818E-02,1.108119E+04,1.684424E+03,5.715000E-01,1.299325E-01,7.043851E+03,9.538197E+02,3.632730E-01,7.357576E-02
04:10:00,7.510035E+03,2.703659E+03,3.874265E-01,2.085550E-01,1.122052E+04,1.654128E+03,5.786790E-01,1.275957E-01,7.028653E+03,9.418446E+02,3.624892E-01,7.265211E-02,1.108119E+04,1.659986E+03,5.715000E-01,1.280476E-01,7.043851E+03,9.381976E+02,3.632730E-01,7.237081E-02
04:20:00,7.510036E+03,2.687916E+03,3.874265E-01,2.073407E-01,1.122052E+04,1.630624E+03,5.786791E-01,1.257827E-01,7.028653E+03,9.270312E+02,3.624893E-01,7.150953E-02,1.108119E+04,1.636658E+03,5.715000E-01,1.262482E-01,7.043852E+03,9.232835E+02,3.632730E-01,7.122047E-02
04:30:00,7.510037E+03,2.672919E+03,3.874266E-01,2.061839E-01,1.122052E+04,1.608253E+03,5.786791E-01,1.240573E-01,7.028654E+03,9.129189E+02,3.624893E-01,7.042103E-02,1.108119E+04,1.614449E+03,5.715001E-01,1.245352E-01,7.043852E+03,9.090831E+02,3.632730E-01,7.012517E-02
04:40:00,7.510038E+03,2.658667E+03,3.874266E-01,2.050846E-01,1.122052E+04,1.587032E+03,5.786792E-01,1.224204E-01,7.028654E+03,8.995186E+02,3.624893E-01,6.938744E-02,1.108119E+04,1.593374E+03,5.715001E-01,1.229097E-01,7.043853E+03,8.956057E+02,3.632731E-01,6.908563E-02
04:50:00,7.510038E+03,2.645162E+03,3.874267E-01,2.040429E-01,1.122052E+04,1.566975E+03,5.786792E-01,1.208735E-01,7.028655E+03,8.868423E+02,3.624893E-01,6.840969E-02,1.108119E+04,1.573450E+03,5.715001E-01,1.213729E-01,7.043853E+03,8.828616E+02,3.632731E-01,6.810266E-02
05:00:00,7.510039E+03,2.632404E+03,3.874267E-01,2.030588E-01,1.122052E+04,1.548100E+03,5.786792E-01,1.194176E-01,7.028655E+03,8.749012E+02,3.624893E-01,6.748865E-02,1.108119E+04,1.554691E+03,5.715002E-01,1.199260E-01,7.043853E+03,8.708611E+02,3.632731E-01,6.717703E-02
05:10:00,7.510040E+03,2.622308E+03,3.874267E-01,2.022801E-01,1.122052E+04,1.533254E+03,5.786792E-01,1.182725E-01,7.028655E+03,8.654528E+02,3.624894E-01,6.675989E-02,1.108119E+04,1.539893E+03,5.715002E-01,1.187847E-01,7.043854E+03,8.613590E+02,3.632731E-01,6.644413E-02
05:20:00,7.510040E+03,2.614911E+03,3.874268E-01,2.017095E-01,1.122052E+04,1.523292E+03,5.786793E-01,1.175041E-01,7.028655E+03,8.590766E+02,3.624894E-01,6.626809E-02,1.108119E+04,1.529911E+03,5.715002E-01,1.180148E-01,7.043854E+03,8.549075E+02,3.632731E-01,6.594652E-02
05:30:00,7.510041E+03,2.610194E+03,3.874268E-01,2.013457E-01,1.122052E+04,1.519753E+03,5.786793E-01,1.172312E-01,7.028656E+03,8.581101E+02,3.624894E-01,6.619356E-02,1.108119E+04,1.527073E+03,5.715002E-01,1.177959E-01,7.043854E+03,8.524988E+02,3.632731E-01,6.576074E-02
05:40:00,7.510041E+03,2.608192E+03,3.874268E-01,2.011913E-01,1.122053E+04,1.524129E+03,5.786793E-01,1.175687E-01,7.028656E+03,8.691855E+02,3.624894E-01,6.704788E-02,1.108119E+04,1.536085E+03,5.715003E-01,1.184910E-01,7.043854E+03,8.550978E+02,3.632732E-01,6.596122E-02
05:50:00,7.510042E+03,2.609034E+03,3.874268E-01,2.012562E-01,1.122053E+04,1.538153E+03,5.786793E-01,1.186505E-01,7.028656E+03,9.011300E+02,3.624894E-01,6.951190E-02,1.108119E+04,1.563096E+03,5.715003E-01,1.205745E-01,7.043855E+03,8.638359E+02,3.632732E-01,6.663522E-02
06:00:00,7.510042E+03,2.612982E+03,3.874269E-01,2.015606E-01,1.122053E+04,1.563065E+03,5.786793E-01,1.205719E-01,7.028656E+03,9.585754E+02,3.624894E-01,7.394277E-02,1.108119E+04,1.608900E+03,5.715003E-01,1.241074E-01,7.043855E+03,8.795286E+02,3.632732E-01,6.784564E-02
06:10:00,6.871571E+03,3.469969E+03,3.544895E-01,2.779340E-01,1.035956E+04,2.314310E+03,5.342765E-01,1.866957E-01,6.501339E+03,1.480134E+03,3.352940E-01,1.200863E-01,1.023689E+04,2.382899E+03,5.279562E-01,1.923693E-01,6.516537E+03,1.339502E+03,3.360778E-01,1.082753E-01
06:20:00,6.231511E+03,3.426295E+03,3.214773E-01,2.827081E-01,9.497127E+03,2.378662E+03,4.898124E-01,1.982652E-01,5.973180E+03,1.618553E+03,3.080642E-01,1.366136E-01,9.391147E+03,2.479310E+03,4.843521E-01,2.071017E-01,5.988381E+03,1.390692E+03,3.088481E-01,1.162416E-01
06:30:00,5.592013E+03,3.862882E+03,2.884951E-01,3.345427E-01,8.634938E+03,2.805933E+03,4.453654E-01,2.454546E-01,5.445139E+03,1.990541E+03,2.808435E-01,1.760911E-01,8.545644E+03,2.941440E+03,4.407646E-01,2.577428E-01,5.460340E+03,1.656407E+03,2.816274E-01,1.452650E-01
06:40:00,4.952238E+03,4.189840E+03,2.554993E-01,3.756453E-01,7.772358E+03,3.152868E+03,4.009017E-01,2.848692E-01,4.916857E+03,2.343108E+03,2.536127E-01,2.138733E-01,7.699755E+03,3.326571E+03,3.971607E-01,3.010187E-01,4.932058E+03,1.874339E+03,2.543967E-01,1.696677E-01
06:50:00,4.312332E+03,4.506421E+03,2.224973E-01,4.157499E-01,6.909560E+03,3.493331E+03,3.564294E-01,3.237895E-01,4.388440E+03,2.710809E+03,2.263767E-01,2.535349E-01,6.853651E+03,3.702151E+03,3.535482E-01,3.436733E-01,4.403640E+03,2.088139E+03,2.271608E-01,1.937547E-01
07:00:00,3.672331E+03,4.818123E+03,1.894909E-01,4.553994E-01,6.046625E+03,3.830337E+03,3.119514E-01,3.625362E-01,3.859938E+03,3.093250E+03,1.991373E-01,2.951332E-01,6.007410E+03,4.071078E+03,3.099301E-01,3.860066E-01,3.875138E+03,2.299679E+03,1.999214E-01,2.177258E-01
07:10:00,3.670724E+03,4.276036E+03,1.894182E-01,4.189175E-01,6.044559E+03,3.449469E+03,3.118720E-01,3.379258E-01,3.858693E+03,3.060172E+03,1.990905E-01,2.997890E-01,6.005379E+03,3.725622E+03,3.098518E-01,3.649795E-01,3.873892E+03,2.072383E+03,1.998747E-01,2.030202E-01
07:20:00,3.670643E+03,4.635621E+03,1.894172E-01,4.541454E-01,6.043890E+03,3.764214E+03,3.118503E-01,3.687588E-01,3.858242E+03,3.453555E+03,1.990759E-01,3.383267E-01,6.004713E+03,4.069102E+03,3.098301E-01,3.986277E-01,3.873438E+03,2.259444E+03,1.998599E-01,2.213450E-01
07:30:00,3.669944E+03,4.517448E+03,1.893836E-01,4.425694E-01,6.042916E+03,3.724725E+03,3.118086E-01,3.648907E-01,3.857635E+03,3.653111E+03,1.990502E-01,3.578785E-01,6.003747E+03,4.055912E+03,3.097888E-01,3.973368E-01,3.872830E+03,2.237497E+03,1.998343E-01,2.191954E-01
07:40:00,3.669475E+03,4.512338E+03,1.893613E-01,4.420743E-01,6.042284E+03,3.774223E+03,3.117811E-01,3.697449E-01,3.857235E+03,3.903450E+03,1.990329E-01,3.824081E-01,6.003119E+03,4.124787E+03,3.097615E-01,4.040897E-01,3.872430E+03,2.268798E+03,1.998169E-01,2.222649E-01
07:50:00,3.669097E+03,4.521830E+03,1.893431E-01,4.430067E-01,6.041829E+03,3.838475E+03,3.117602E-01,3.760417E-01,3.856944E+03,4.159082E+03,1.990194E-01,4.074541E-01,6.002665E+03,4.202050E+03,3.097406E-01,4.116614E-01,3.872138E+03,2.309416E+03,1.998035E-01,2.262453E-01
08:00:00,3.668779E+03,4.540973E+03,1.893277E-01,4.448831E-01,6.041475E+03,3.914490E+03,3.117431E-01,3.834895E-01,3.856714E+03,4.413371E+03,1.990083E-01,4.323674E-01,6.002312E+03,4.284061E+03,3.097236E-01,4.196970E-01,3.871909E+03,2.357453E+03,1.997923E-01,2.309517E-01
08:10:00,3.668507E+03,4.566982E+03,1.893143E-01,4.474315E-01,6.041189E+03,3.999117E+03,3.117289E-01,3.917805E-01,3.856526E+03,4.653344E+03,1.989988E-01,4.558781E-01,6.002026E+03,4.366161E+03,3.097094E-01,4.277408E-01,3.871720E+03,2.410862E+03,1.997828E-01,2.361843E-01
08:20:00,3.668273E+03,4.597674E+03,1.893028E-01,4.504385E-01,6.040951E+03,4.092177E+03,3.117169E-01,4.008977E-01,3.856367E+03,4.880846E+03,1.989908E-01,4.781672E-01,6.001788E+03,4.450261E+03,3.096974E-01,4.359805E-01,3.871561E+03,2.469529E+03,1.997748E-01,2.419319E-01
08:30:00,3.668070E+03,4.630805E+03,1.892927E-01,4.536843E-01,6.040752E+03,4.192817E+03,3.117068E-01,4.107573E-01,3.856233E+03,5.094182E+03,1.989839E-01,4.990685E-01,6.001589E+03,4.536817E+03,3.096873E-01,4.444610E-01,3.871427E+03,2.533514E+03,1.997680E-01,2.482004E-01
08:40:00,3.667894E+03,4.667571E+03,1.892839E-01,4.572861E-01,6.040583E+03,4.302098E+03,3.116982E-01,4.214635E-01,3.856119E+03,5.292093E+03,1.989781E-01,5.184585E-01,6.001420E+03,4.625783E+03,3.096787E-01,4.531776E-01,3.871314E+03,2.602881E+03,1.997622E-01,2.549963E-01
08:50:00,3.667740E+03,4.708023E+03,1.892761E-01,4.612491E-01,6.040440E+03,4.420407E+03,3.116909E-01,4.330542E-01,3.856021E+03,5.473698E+03,1.989731E-01,5.362509E-01,6.001277E+03,4.718616E+03,3.096714E-01,4.622728E-01,3.871216E+03,2.677422E+03,1.997572E-01,2.622991E-01
09:00:00,3.667605E+03,4.752638E+03,1.892693E-01,4.656198E-01,6.040316E+03,4.548886E+03,3.116845E-01,4.456414E-01,3.855937E+03,5.638458E+03,1.989688E-01,5.523931E-01,6.001153E+03,4.816118E+03,3.096650E-01,4.718254E-01,3.871132E+03,2.756907E+03,1.997528E-01,2.700863E-01
09:10:00,3.667487E+03,4.801323E+03,1.892634E-01,4.703894E-01,6.040210E+03,4.688292E+03,3.116790E-01,4.592992E-01,3.855864E+03,5.788542E+03,1.989650E-01,5.670973E-01,6.001046E+03,4.918290E+03,3.096595E-01,4.818353E-01,3.871058E+03,2.840598E+03,1.997491E-01,2.782857E-01
09:20:00,3.667383E+03,4.855388E+03,1.892581E-01,4.756862E-01,6.040117E+03,4.839619E+03,3.116743E-01,4.741248E-01,3.855799E+03,5.921829E+03,1.989617E-01,5.801559E-01,6.000953E+03,5.025480E+03,3.096548E-01,4.923369E-01,3.870994E+03,2.927990E+03,1.997458E-01,2.868476E-01
09:30:00,3.667292E+03,4.916430E+03,1.892534E-01,4.816667E-01,6.040035E+03,5.004328E+03,3.116701E-01,4.902616E-01,3.855743E+03,6.038203E+03,1.989588E-01,5.915574E-01,6.000872E+03,5.138116E+03,3.096506E-01,5.033719E-01,3.870938E+03,3.018265E+03,1.997429E-01,2.956921E-01
09:40:00,3.667211E+03,4.983011E+03,1.892493E-01,4.881900E-01,6.039964E+03,5.181703E+03,3.116664E-01,5.076394E-01,3.855694E+03,6.137697E+03,1.989563E-01,6.013053E-01,6.000801E+03,5.256248E+03,3.096469E-01,5.149454E-01,3.870889E+03,3.110534E+03,1.997403E-01,3.047319E-01
09:50:00,3.667139E+03,5.054769E+03,1.892456E-01,4.952204E-01,6.039901E+03,5.371317E+03,3.116632E-01,5.262161E-01,3.855651E+03,6.220269E+03,1.989540E-01,6.093953E-01,6.000738E+03,5.379001E+03,3.096436E-01,5.269717E-01,3.870846E+03,3.204159E+03,1.997381E-01,3.139045E-01
10:00:00,3.667076E+03,5.130915E+03,1.892424E-01,5.026808E-01,6.039846E+03,5.571708E+03,3.116603E-01,5.458485E-01,3.855613E+03,6.285896E+03,1.989521E-01,6.158251E-01,6.000683E+03,5.505810E+03,3.096408E-01,5.393952E-01,3.870808E+03,3.298509E+03,1.997362E-01,3.231481E-01
10:10:00,3.667019E+03,5.210840E+03,1.892395E-01,5.105114E-01,6.039798E+03,5.780415E+03,3.116578E-01,5.662956E-01,3.855579E+03,6.331406E+03,1.989503E-01,6.202841E-01,6.000634E+03,5.635503E+03,3.096383E-01,5.521014E-01,3.870774E+03,3.392800E+03,1.997344E-01,3.323860E-01
10:20:00,3.666969E+03,5.293888E+03,1.892369E-01,5.186480E-01,6.039754E+03,5.995657E+03,3.116556E-01,5.873830E-01,3.855549E+03,6.358924E+03,1.989488E-01,6.229805E-01,6.000591E+03,5.767360E+03,3.096361E-01,5.650195E-01,3.870745E+03,3.486775E+03,1.997329E-01,3.415929E-01
10:30:00,3.666925E+03,5.379381E+03,1.892346E-01,5.270239E-01,6.039716E+03,6.215130E+03,3.116536E-01,6.088850E-01,3.855523E+03,6.368743E+03,1.989474E-01,6.239427E-01,6.000553E+03,5.900256E+03,3.096341E-01,5.780395E-01,3.870718E+03,3.580002E+03,1.997315E-01,3.507264E-01
10:40:00,3.666885E+03,5.466597E+03,1.892326E-01,5.355687E-01,6.039682E+03,6.436537E+03,3.116519E-01,6.305764E-01,3.855499E+03,6.361184E+03,1.989462E-01,6.232025E-01,6.000519E+03,6.033136E+03,3.096323E-01,5.910578E-01,3.870695E+03,3.672088E+03,1.997303E-01,3.597482E-01
10:50:00,3.666849E+03,5.554645E+03,1.892307E-01,5.441950E-01,6.039652E+03,6.657800E+03,3.116503E-01,6.522537E-01,3.855479E+03,6.336785E+03,1.989452E-01,6.208124E-01,6.000489E+03,6.165082E+03,3.096308E-01,6.039848E-01,3.870674E+03,3.762696E+03,1.997293E-01,3.686252E-01
11:00:00,3.666818E+03,5.644254E+03,1.892291E-01,5.529742E-01,6.039626E+03,6.876991E+03,3.116489E-01,6.737281E-01,3.855460E+03,6.296204E+03,1.989442E-01,6.168370E-01,6.000462E+03,6.295323E+03,3.096294E-01,6.167447E-01,3.870656E+03,3.851540E+03,1.997283E-01,3.773294E-01
11:10:00,3.666789E+03,5.734634E+03,1.892277E-01,5.618290E-01,6.039602E+03,7.091420E+03,3.116477E-01,6.947360E-01,3.855444E+03,6.239681E+03,1.989434E-01,6.112997E-01,6.000438E+03,6.422308E+03,3.096282E-01,6.291856E-01,3.870640E+03,3.937786E+03,1.997275E-01,3.857792E-01
11:20:00,3.666764E+03,5.825487E+03,1.892263E-01,5.707303E-01,6.039581E+03,7.299443E+03,3.116466E-01,7.151164E-01,3.855429E+03,6.168254E+03,1.989426E-01,6.043022E-01,6.000417E+03,6.545420E+03,3.096271E-01,6.412471E-01,3.870625E+03,4.021166E+03,1.997267E-01,3.939481E-01
11:30:00,3.666741E+03,5.916516E+03,1.892252E-01,5.796489E-01,6.039562E+03,7.499580E+03,3.116457E-01,7.347242E-01,3.855417E+03,6.083292E+03,1.989420E-01,5.959787E-01,6.000398E+03,6.664133E+03,3.096261E-01,6.528776E-01,3.870612E+03,4.101437E+03,1.997261E-01,4.018124E-01
